Worker,IP_Address,Docker_Status,portainer,filebrowser,nginx80,nginx443,NVIDIA
worker1,172.21.0.37,Not Running,N/A,N/A,N/A,N/A,N/A
worker2,172.21.0.40,Not Running,N/A,N/A,N/A,N/A,N/A
worker3,172.21.0.50,Not Running,N/A,N/A,N/A,N/A,N/A
worker4,172.21.0.5,Not Running,N/A,N/A,N/A,N/A,N/A
worker5,172.21.0.30,Not Running,N/A,N/A,N/A,N/A,N/A
worker6,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker7,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker8,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker9,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker10,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker11,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker12,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker13,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker14,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker15,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker16,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker17,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker18,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker19,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker20,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker21,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker22,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker23,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker24,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker25,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker26,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker27,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker28,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker29,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker30,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker31,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker32,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker33,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker34,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker35,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker36,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker37,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker38,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker39,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker40,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker41,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker42,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker43,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker44,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker45,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker46,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker47,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker48,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker49,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
worker50,No_Disponible,Not Running,N/A,N/A,N/A,N/A,N/A
