Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
02-Feb-2021,14481.1,14731.7,14469.15,14647.85,914965225,58177.74
03-Feb-2021,14754.9,14868.85,14574.15,14789.95,869477087,49312.35
04-Feb-2021,14789.05,14913.7,14714.75,14895.65,884686415,47811.8
05-Feb-2021,14952.6,15014.65,14864.75,14924.25,935629058,54394.63
08-Feb-2021,15064.3,15159.9,15041.05,15115.8,671242694,40483.96
09-Feb-2021,15164.15,15257.1,15064.3,15109.3,713279133,41930.72
10-Feb-2021,15119.05,15168.25,14977.2,15106.5,624791133,40707.97
11-Feb-2021,15073.25,15188.5,15065.4,15173.3,500122414,30933.44
12-Feb-2021,15186.2,15243.5,15081.0,15163.3,571808807,32304.24
15-Feb-2021,15270.3,15340.15,15243.4,15314.7,455959720,28955.29
16-Feb-2021,15371.45,15431.75,15242.2,15313.45,648545320,36550.03
17-Feb-2021,15279.9,15314.3,15170.75,15208.9,504767226,34073.12
18-Feb-2021,15238.7,15250.75,15078.05,15118.95,770629541,37093.99
19-Feb-2021,15074.8,15144.05,14898.2,14981.75,712213821,37419.34
22-Feb-2021,14999.05,15010.1,14635.05,14675.7,609898454,37578.07
23-Feb-2021,14782.25,14854.5,14651.85,14707.8,744092809,39508.09
